Estimated.Number.of.Cells,Mean.Reads.per.Cell,Median.Genes.per.Cell,Number.of.Reads,Valid.Barcodes%,Sequencing.Saturation%,Q30.Bases.in.Barcode%,Q30.Bases.in.RNA.Read%,Q30.Bases.in.Sample.Index%,Q30.Bases.in.UMI%,Reads.Mapped.to.Genome%,Reads.Mapped.Confidently.to.Genome%,Reads.Mapped.Confidently.to.Intergenic.Regions%,Reads.Mapped.Confidently.to.Intronic.Regions%,Reads.Mapped.Confidently.to.Exonic.Regions%,Reads.Mapped.Confidently.to.Transcriptome%,Reads.Mapped.Antisense.to.Gene%,Fraction.Reads.in.Cells%,Total.Genes.Detected,Median.UMI.Counts.per.Cell
SCRN_PPMI3957_7680_da65,6340,26453,2799,167715940,97.2,17.7,94.7,93.4,89.6,94.8,97,91.4,2.7,24.1,64.6,57.5,2,93.4,42339,8656
SCRN_PPMI40760_1625_da65,3615,49958,4208,180601375,97.2,25.2,94.6,93.5,92,94.8,96.9,91.4,3.1,25.4,62.9,55.5,2.1,89.5,42638,14824
SCRN_PPMI4091_7907_da65,2830,62417,4420,176641509,97.3,30.5,94.7,93.3,92,94.9,97.3,91.3,2.1,17.9,71.4,64.6,1.8,91.8,40587,19480
SCRN_PPMI4099_3863_da65,6380,30980,3007,197658389,97.3,25.8,94.2,92.9,91.7,94.4,96.7,90.4,3.1,21.7,65.7,58.2,2.1,89.7,44639,9246
SCRN_PPMI4101_7215_da65,6155,29185,2722,179639081,97.3,22.5,94.7,93.3,90.1,94.7,96.9,90.7,3,25.2,62.5,55.5,2.1,87.2,43196,7476
SCRN_PPMI4106_0494_da65,3321,57190,4221,189928643,97.3,25.1,94.6,93.6,91.8,94.8,97,91.1,3.5,24.4,63.2,55.7,1.9,88.6,42589,15303
SCRN_PPMI4107_6817_da65,5904,27877,2999,164591083,97.2,19.6,94.6,93.7,90.3,94.8,97.3,91.8,3.1,23.7,65,58.3,1.8,93.2,41598,9493
SCRN_PPMI4108_9290_da65,6860,24833,2876,170358507,97,20.7,94.5,93,92.8,94.6,96.8,91.1,2.8,24,64.3,56.6,2.2,92.2,43276,7869
SCRN_PPMI4109_6049_da65,6341,25352,2899,160762771,97.5,18.7,94.7,93.5,91.6,94.8,97.3,91.6,3.2,22.8,65.6,58.4,1.8,92.3,42866,8623
SCRN_PPMI4111_1744_da65,8115,21856,2589,177364342,97.2,15.8,94.7,93.9,91.5,94.8,97.3,91.6,2.9,21.8,67,59.7,2.1,90.3,42972,7788
SCRN_PPMI41430_2212_da65,4796,40831,3564,195825979,97.4,25.2,94.7,93.6,92.1,94.9,97,91.1,4.3,26.2,60.5,53.4,2.1,94,44534,11938
SCRN_PPMI41486_6285_da65,7371,25318,3074,186619928,97.2,19.2,94.6,93.1,92.1,94.7,97,91.3,2.9,22.8,65.5,57.7,2.2,91.8,44177,8930
SCRN_PPMI41568_0125_da65,4041,44095,3880,178188815,97.5,24.6,94.7,93.6,89.3,94.9,96.8,91.5,3.2,28.2,60,52.9,1.9,90.1,43080,12520
SCRN_PPMI42378_2056_da65,3483,51938,3877,180900359,97.3,30.6,94.7,93.9,90.4,94.9,96.8,91,3.6,28.1,59.3,52.1,2.1,90.4,43599,13119
SCRN_PPMI50086_8366_da65,5990,27658,2930,165672608,97.2,18.9,94.6,92.8,90.5,94.8,97,90.6,3.1,23.7,63.9,56.5,2,93.2,42469,9096
SCRN_PPMI51518_8710_da65,7413,23332,2716,172964679,97.3,16.7,94.6,93.3,90.9,94.8,97.2,91.7,2.7,22.8,66.2,59.3,2,92.8,41597,8145
SCRN_PPMI51625_2576_da65,7206,27318,2928,196854983,97.3,24.4,94.5,93.2,91.4,94.6,96.5,90.3,3.2,22.8,64.2,56.5,2.2,91.3,43656,8524
SCRN_PPMI51714_7806_da65,6321,27725,3017,175251737,96.3,17.8,94.2,92.9,92.5,94.3,96.2,90.6,2.8,21.5,66.2,58.7,2,92.8,42228,9838
